,area,district,metro,metro_distance,metro_num,price,square,S,title,type
13990,20.2 ㎡14/17层4室1厅,宝山,距7号线南陈路站直线1005米,1005,1005.0,1790,20.2,20.2,友家 · 经纬学府涵青花园(二期)4居室-南卧,合租
13991,17.8 ㎡03/6层4室1厅,宝山,距1号线友谊西路站直线1377米,1377,1377.0,1760,17.8,17.8,友家 · 万科四季花城4居室-南卧,合租
13992,11 ㎡02/30层4室1厅,宝山,距3号线江杨北路站直线1050米,1050,1050.0,1660,11,11.0,友家 · 万业紫辰苑4居室-南卧,合租
13993,10.4 ㎡1/18层3室1厅,宝山,距7号线上海大学站直线1644米,1644,1644.0,1860,10.4,10.4,友家 · 丰皓苑3居室-南卧,合租
13994,20.9 ㎡04/6层3室1厅,宝山,距1号线友谊西路站直线819米,819,819.0,1930,20.9,20.9,友家 · 东方丽都3居室-南卧,合租
13995,14.4 ㎡05/6层3室1厅,宝山,距7号线上海大学站直线794米,794,794.0,1890,14.4,14.4,友家 · 祁连二村3居室-南卧,合租
13996,14 ㎡06/6层3室1厅,宝山,距7号线上大路站直线1162米,1162,1162.0,2090,14,14.0,友家 · 慧华苑3居室-南卧,合租
13997,12.1 ㎡07/14层3室1厅,宝山,距7号线南陈路站直线818米,818,818.0,2060,12.1,12.1,友家 · 经纬城市绿洲3居室-南卧,合租
13998,14.7 ㎡05/6层3室1厅,宝山,距7号线祁华路站直线726米,726,726.0,1560,14.7,14.7,友家 · 葑润华庭3居室-南卧,合租
13999,12.5 ㎡02/6层3室1厅,宝山,距7号线大华三路站直线682米,682,682.0,2690,12.5,12.5,友家 · 大华二村3居室-南卧,合租
14000,19.2 ㎡06/6层5室1厅,宝山,距7号线上大路站直线255米,255,255.0,2590,19.2,19.2,友家 · 上大阳光乾静园5居室-南卧,合租
14001,14.8 ㎡02/6层2室1厅,宝山,距3号线长江南路站直线1619米,1619,1619.0,2090,14.8,14.8,友家 · 淞南十村2居室-南卧,合租
14002,13.6 ㎡02/6层3室1厅,宝山,距3号线殷高西路站直线1503米,1503,1503.0,1830,13.6,13.6,友家 · 嘉骏花苑3居室-南卧,合租
14003,14.7 ㎡06/18层4室1厅,宝山,距1号线宝安公路站直线1603米,1603,1603.0,1990,14.7,14.7,友家 · 和家欣苑4居室-南卧,合租
